"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\A\Desktop\ecomm\ecommerce\API\index.js", "JavaScript", 36, 0, 24, 2, 62
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Cart.js", "JavaScript", 18, 0, 8, 3, 29
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Favorite.js", "JavaScript", 18, 0, 7, 4, 29
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Order.js", "JavaScript", 17, 0, 1, 3, 21
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Product.js", "JavaScript", 17, 0, 6, 3, 26
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\User.js", "JavaScript", 11, 0, 5, 4, 20
"c:\Users\A\Desktop\ecomm\ecommerce\API\package-lock.json", "JSON", 0, 2331, 0, 1, 2332
"c:\Users\A\Desktop\ecomm\ecommerce\API\package.json", "JSON", 0, 21, 0, 1, 22
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\auth.js", "JavaScript", 71, 0, 40, 6, 117
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\cart.js", "JavaScript", 48, 0, 13, 7, 68
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\favorite.js", "JavaScript", 48, 0, 13, 8, 69
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\order.js", "JavaScript", 84, 0, 6, 14, 104
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\product.js", "JavaScript", 60, 0, 14, 9, 83
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\user.js", "JavaScript", 48, 0, 16, 8, 72
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\verifytoken.js", "JavaScript", 36, 0, 14, 4, 54
"Total", "-", 512, 2352, 167, 77, 3108
