"filename", "language", "JavaScript", "JavaScript React", "XML", "CSS", "comment", "blank", "total"
"c:\Users\A\Desktop\ecomm\ecommerce\src\App.css", "CSS", 0, 0, 0, 33, 0, 6, 39
"c:\Users\A\Desktop\ecomm\ecommerce\src\App.js", "JavaScript", 35, 0, 0, 0, 0, 5, 40
"c:\Users\A\Desktop\ecomm\ecommerce\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Banner.jsx", "JavaScript React", 0, 130, 0, 0, 21, 15, 166
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Board.jsx", "JavaScript React", 0, 114, 0, 0, 25, 18, 157
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\CartItem.jsx", "JavaScript React", 0, 131, 0, 0, 33, 19, 183
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Explore.jsx", "JavaScript React", 0, 99, 0, 0, 20, 14, 133
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\FavoriteCard.jsx", "JavaScript React", 0, 80, 0, 0, 32, 13, 125
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Footer.jsx", "JavaScript React", 0, 91, 0, 0, 12, 8, 111
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Highlights.jsx", "JavaScript React", 0, 56, 0, 0, 17, 13, 86
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Navbar.jsx", "JavaScript React", 0, 432, 0, 0, 73, 46, 551
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\ProductCard.jsx", "JavaScript React", 0, 153, 0, 0, 40, 23, 216
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\ProductList.jsx", "JavaScript React", 0, 70, 0, 0, 22, 18, 110
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\Sale.jsx", "JavaScript React", 0, 151, 0, 0, 27, 19, 197
"c:\Users\A\Desktop\ecomm\ecommerce\src\Components\VideoPlayer.jsx", "JavaScript React", 0, 84, 0, 0, 21, 15, 120
"c:\Users\A\Desktop\ecomm\ecommerce\src\index.css", "CSS", 0, 0, 0, 12, 0, 2, 14
"c:\Users\A\Desktop\ecomm\ecommerce\src\index.js", "JavaScript", 18, 0, 0, 0, 3, 3, 24
"c:\Users\A\Desktop\ecomm\ecommerce\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Cart.jsx", "JavaScript React", 0, 132, 0, 0, 26, 14, 172
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Favorites.jsx", "JavaScript React", 0, 36, 0, 0, 13, 7, 56
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Home.jsx", "JavaScript React", 0, 40, 0, 0, 21, 15, 76
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Login.jsx", "JavaScript React", 0, 106, 0, 0, 22, 12, 140
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\ProductPage.jsx", "JavaScript React", 0, 231, 0, 0, 44, 26, 301
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Products.jsx", "JavaScript React", 0, 103, 0, 0, 24, 16, 143
"c:\Users\A\Desktop\ecomm\ecommerce\src\pages\Register.jsx", "JavaScript React", 0, 98, 0, 0, 11, 16, 125
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\apiCalls.js", "JavaScript", 52, 0, 0, 0, 21, 4, 77
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\cartRedux.js", "JavaScript", 71, 0, 0, 0, 32, 4, 107
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\favoriteRedux.js", "JavaScript", 74, 0, 0, 0, 19, 6, 99
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\store.js", "JavaScript", 36, 0, 0, 0, 0, 4, 40
"c:\Users\A\Desktop\ecomm\ecommerce\src\redux\userRedux.js", "JavaScript", 61, 0, 0, 0, 0, 5, 66
"c:\Users\A\Desktop\ecomm\ecommerce\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\A\Desktop\ecomm\ecommerce\src\responsive.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\A\Desktop\ecomm\ecommerce\src\services.js", "JavaScript", 13, 0, 0, 0, 2, 4, 19
"c:\Users\A\Desktop\ecomm\ecommerce\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"Total", "-", 395, 2337, 1, 45, 585, 378, 3741
