"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\A\Desktop\ecomm\ecommerce\API\index.js", "JavaScript", 0, 36, 24, 2, 62
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Cart.js", "JavaScript", 0, 18, 8, 3, 29
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Favorite.js", "JavaScript", 0, 18, 7, 4, 29
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Order.js", "JavaScript", 0, 17, 1, 3, 21
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\Product.js", "JavaScript", 0, 17, 6, 3, 26
"c:\Users\A\Desktop\ecomm\ecommerce\API\models\User.js", "JavaScript", 0, 11, 5, 4, 20
"c:\Users\A\Desktop\ecomm\ecommerce\API\package-lock.json", "JSON", 2331, 0, 0, 1, 2332
"c:\Users\A\Desktop\ecomm\ecommerce\API\package.json", "JSON", 21, 0, 0, 1, 22
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\auth.js", "JavaScript", 0, 71, 40, 6, 117
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\cart.js", "JavaScript", 0, 48, 13, 7, 68
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\favorite.js", "JavaScript", 0, 48, 13, 8, 69
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\order.js", "JavaScript", 0, 84, 6, 14, 104
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\product.js", "JavaScript", 0, 60, 14, 9, 83
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\user.js", "JavaScript", 0, 48, 16, 8, 72
"c:\Users\A\Desktop\ecomm\ecommerce\API\routes\verifytoken.js", "JavaScript", 0, 36, 14, 4, 54
"Total", "-", 2352, 512, 167, 77, 3108
